ARTUR ALVIM;2015;0;25;10;0;1420;4075;2385;1330;9245
ARTUR ALVIM;2013;0;35;0;0;1680;3745;2415;1700;9575
ARTUR ALVIM;2011;0;65;10;0;1725;3150;2435;1200;8585
ARTUR ALVIM;2009;0;0;0;0;0;0;0;5;5
ARTUR ALVIM;2007;0;0;0;0;0;0;0;10;10
ARTUR ALVIM;2003;0;0;0;0;0;0;0;5;5
ARTUR ALVIM;2001;0;0;0;0;25;0;5;0;30
ARTUR ALVIM;1997;0;0;0;0;5;0;0;0;5
ARTUR ALVIM;1989;0;0;0;0;0;5;0;0;5
ARTUR ALVIM;1987;0;0;0;0;0;10;0;0;10
ARTUR ALVIM;1985;0;0;0;0;5;0;0;0;5
ARTUR ALVIM;1971;0;0;0;0;5;0;0;0;5
ARTUR ALVIM;1963;0;0;0;0;0;5;0;5;10
ARTUR ALVIM;1957;0;0;0;0;0;0;5;0;5
BARRA FUNDA;1988;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1972;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1970;0;0;0;0;0;0;10;0;10
BARRA FUNDA;1956;0;0;0;0;5;0;0;0;5
BARRA FUNDA;320;0;0;0;0;5;0;0;0;5
BARRA FUNDA;2019;0;15;0;0;7595;2680;745;210;11245
BARRA FUNDA;2018;5;15;0;0;8470;3815;1890;595;14790
BARRA FUNDA;2016;0;5;0;0;11075;4950;2180;725;18935
BARRA FUNDA;2014;0;20;5;0;5175;3260;1965;770;11195
BARRA FUNDA;2012;0;25;5;0;8290;2960;1965;880;14125
BARRA FUNDA;1997;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1995;0;0;0;0;15;5;0;0;20
BARRA FUNDA;1993;0;0;0;0;5;15;0;0;20
BARRA FUNDA;1991;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1989;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1987;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1983;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1977;0;0;0;0;10;0;0;0;10
BARRA FUNDA;1971;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1969;0;0;0;0;10;0;0;0;10
BARRA FUNDA;2010;0;0;0;0;145;10;45;0;200
BARRA FUNDA;2006;0;0;0;0;0;0;5;0;5
BARRA FUNDA;2002;0;0;0;0;5;0;0;0;5
BARRA FUNDA;1998;0;0;0;0;0;5;0;0;5
BARRA FUNDA;1996;0;0;0;0;5;5;0;0;10
BARRA FUNDA;2017;0;50;15;0;14270;4975;2195;745;22250
BARRA FUNDA;2015;0;0;0;0;7435;3230;2055;705;13425
BARRA FUNDA;2013;0;15;0;0;7300;3720;3475;1015;15525
BARRA FUNDA;2011;0;30;0;0;7200;2910;2565;1360;14065
BARRA FUNDA;2009;0;0;0;0;5;0;5;0;10
BARRA FUNDA;2007;0;0;0;0;0;0;20;0;20
BARRA FUNDA;2003;0;0;0;0;5;0;5;0;10
BARRA FUNDA;2001;0;0;0;0;30;5;0;5;40
BARRA FUNDA;1999;0;0;0;0;10;0;0;0;10
BARRA FUNDA;1994;0;0;0;0;10;5;0;0;15
BARRA FUNDA;1990;0;0;0;0;10;0;5;0;15
BELA VISTA;2004;0;0;0;0;0;0;5;0;5
BELA VISTA;2002;0;0;0;0;0;0;5;0;5
BELA VISTA;1996;0;0;0;0;5;5;0;0;10
BELA VISTA;2019;0;10;0;0;12160;3485;1175;20;16850
BELA VISTA;2017;0;20;0;0;12760;6000;2870;205;21855
BELA VISTA;2015;0;5;0;5;7445;4215;2380;255;14305
BELA VISTA;2013;0;25;0;0;8505;3965;3080;365;15940
BELA VISTA;2011;0;30;0;0;5380;2320;3450;490;11670
BELA VISTA;2007;0;0;0;0;0;0;15;0;15
BELA VISTA;2003;0;0;0;0;0;5;0;0;5
BELA VISTA;2001;0;0;0;0;15;0;30;0;45
BELA VISTA;1999;0;0;0;0;5;0;0;0;5
BELA VISTA;1997;0;0;0;0;15;0;0;0;15
BELA VISTA;1995;0;0;0;0;5;0;0;0;5
BELA VISTA;1993;0;0;0;0;0;5;0;0;5
BELA VISTA;1991;0;0;0;0;10;0;0;0;10
BELA VISTA;1987;0;0;0;0;0;0;5;0;5
BELA VISTA;1985;0;0;0;0;5;0;0;0;5
BELA VISTA;1983;0;0;0;0;0;0;5;0;5
BELA VISTA;1981;0;0;0;0;5;0;10;0;15
BELA VISTA;1979;0;0;0;0;15;0;0;0;15
BELA VISTA;1975;0;0;0;0;5;0;0;0;5
BELA VISTA;1971;0;0;0;0;0;0;5;0;5
BELA VISTA;1019;0;0;0;0;5;0;0;0;5
BELA VISTA;1982;0;0;0;0;15;0;0;0;15
BELA VISTA;1984;0;0;0;0;5;0;0;0;5
BELA VISTA;1990;0;0;0;0;5;0;5;0;10
BELA VISTA;1992;0;0;0;0;15;0;0;0;15
BELA VISTA;1994;0;0;0;0;5;0;0;0;5
BELA VISTA;1989;0;0;0;0;5;0;5;0;10
BELA VISTA;1960;0;0;0;0;0;5;0;0;5
BELA VISTA;1964;0;0;0;0;5;0;0;0;5
BELA VISTA;1978;0;0;0;0;10;0;0;0;10
BELA VISTA;1980;0;0;0;0;5;0;0;0;5
BELA VISTA;2018;0;25;5;0;14780;5555;2150;190;22705
BELA VISTA;2016;0;15;5;0;12755;5600;3770;205;22350
BELA VISTA;2014;0;20;10;0;5785;3500;2395;430;12140
BELA VISTA;2012;0;0;5;0;7260;3390;3050;485;14190
BELA VISTA;2010;0;0;0;0;165;20;45;5;235
BELA VISTA;2008;0;0;0;0;0;0;5;0;5
BELA VISTA;2006;0;0;0;0;5;0;20;0;25
BELEM;1992;0;0;0;0;5;0;0;0;5
BELEM;1994;0;0;0;0;0;5;0;0;5
BELEM;2002;0;0;0;0;0;0;5;0;5
BELEM;2010;0;0;0;0;35;25;15;20;95
BELEM;2012;0;70;15;5;2540;2015;1035;835;6515
BELEM;2014;0;20;5;0;1990;2165;1385;935;6500
BELEM;2016;0;30;5;0;2920;2310;1800;440;7505
BELEM;2018;0;20;0;0;2490;2260;975;390;6135
BELEM;2019;0;10;5;0;1675;1375;745;140;3950
BELEM;2017;0;20;5;0;3115;2595;1210;640;7585
BELEM;2015;0;20;0;0;2125;1720;1620;670;6155
BELEM;2013;0;25;5;0;2530;2485;1190;1000;7235
BELEM;2011;0;20;0;0;2765;1995;1065;970;6815
BELEM;2009;0;0;0;0;0;5;0;0;5
