month;day;feminicide;homicide;felony_murder;bodily_harm;theft_cellphone;robbery_cellphone;theft_auto;armed_robbery_auto;criminal_index
4;29;0;8;0;0;454;662;214;182;1520
4;30;0;0;0;2;296;528;150;212;1188
5;1;0;6;4;0;408;730;148;186;1482
5;2;0;8;0;0;400;624;294;144;1470
5;3;0;6;0;0;512;756;370;186;1830
5;4;0;14;0;0;488;798;316;210;1826
5;5;0;2;0;0;432;878;248;220;1780
5;6;0;4;0;0;606;680;190;194;1674
5;7;0;22;0;0;406;666;226;168;1488
5;8;0;2;0;0;416;760;238;178;1594
5;9;0;10;0;0;414;746;334;186;1690
5;10;0;0;0;0;346;704;378;152;1580
5;11;0;16;2;0;226;570;176;148;1138
5;12;0;8;2;0;458;688;198;176;1530
5;13;0;6;0;0;488;664;202;180;1540
5;14;0;6;2;0;210;554;138;188;1098
5;15;0;6;0;0;230;444;172;138;990
5;16;0;0;0;0;200;562;176;134;1072
5;17;0;2;2;0;226;524;202;158;1114
5;18;0;12;2;0;372;692;242;186;1506
5;19;0;6;0;0;372;702;208;174;1462
5;20;0;2;0;0;706;742;176;218;1844
5;21;0;14;0;0;374;626;208;112;1334
5;22;0;4;4;2;406;706;222;170;1514
5;23;0;2;0;0;442;684;334;188;1650
5;24;0;0;0;0;430;726;336;194;1686
5;25;0;8;2;0;440;644;294;202;1590
5;26;0;6;2;0;502;836;200;196;1742
5;27;0;0;0;0;556;754;164;196;1670
5;28;0;2;0;0;444;736;152;224;1558
5;29;0;8;0;0;378;596;220;170;1372
5;30;0;4;0;0;354;726;310;194;1588
5;31;0;2;0;0;378;750;310;188;1628
6;1;0;8;0;0;278;614;236;182;1318
6;2;0;6;0;0;430;704;204;198;1542
6;3;0;10;2;0;518;652;154;206;1542
6;4;0;8;2;0;416;622;180;178;1406
6;5;0;0;0;0;360;736;192;100;1388
6;6;0;2;0;0;434;664;292;144;1536
6;7;0;10;0;0;444;708;330;196;1688
6;8;0;14;0;0;508;716;280;162;1680
6;9;0;6;0;0;576;828;250;198;1858
6;10;0;6;4;0;552;728;228;228;1746
6;11;0;2;0;0;392;566;184;190;1334
6;12;0;4;0;0;448;692;192;134;1470
6;13;0;2;0;0;364;688;248;178;1480
6;14;0;2;0;0;528;810;276;216;1832
6;15;0;18;4;0;472;592;180;160;1426
6;16;0;6;0;2;436;688;228;206;1566
6;17;0;8;0;0;556;664;158;210;1596
6;18;0;14;0;0;2686;1130;178;206;4214
6;19;0;20;2;0;434;754;232;158;1600
6;20;0;0;0;0;434;704;272;168;1578
6;21;0;10;2;0;410;716;340;208;1686
6;22;0;0;4;0;524;708;292;178;1706
6;23;0;6;0;0;560;754;206;200;1726
6;24;0;2;0;0;546;678;210;178;1614
6;25;2;8;0;0;430;698;206;208;1552
6;26;0;8;0;0;416;730;232;172;1558
6;27;0;6;2;0;408;730;268;166;1580
6;28;0;2;0;0;522;696;320;198;1738
6;29;0;0;2;0;434;702;296;184;1618
6;30;0;4;2;0;468;800;238;210;1722
7;1;0;4;0;0;478;682;198;194;1556
7;2;0;10;0;0;342;648;202;166;1368
7;3;0;10;0;0;410;656;194;142;1412
7;4;0;0;0;0;428;720;300;202;1650
7;5;0;8;2;2;460;704;292;218;1686
7;6;0;6;0;0;438;704;260;206;1614
7;7;0;12;0;0;470;724;196;150;1552
7;8;0;0;0;0;874;752;160;208;1994
7;9;0;8;2;0;482;574;198;148;1412
7;10;0;2;0;0;398;656;208;136;1400
7;11;0;0;0;0;462;618;256;168;1504
7;12;0;8;2;0;518;626;294;154;1602
7;13;0;0;0;0;436;704;278;192;1610
7;14;0;8;2;0;516;722;242;186;1676
7;15;0;8;0;0;660;688;182;186;1724
7;16;0;2;2;0;330;652;212;186;1384
7;17;0;2;0;0;338;620;210;156;1326
7;18;0;6;0;0;186;444;184;146;966
7;19;0;4;0;0;250;544;172;172;1142
7;20;0;10;0;0;524;748;300;174;1756
7;21;0;2;0;0;478;692;210;176;1558
7;22;0;2;4;0;468;680;156;190;1500
7;23;0;10;4;0;272;644;190;224;1344
7;24;0;8;0;0;402;598;156;130;1294
7;25;0;12;0;0;418;648;278;184;1540
7;26;0;0;2;0;358;548;266;166;1340
7;27;0;0;0;0;350;674;316;220;1560
7;28;0;4;0;0;472;666;242;192;1576
7;29;0;12;0;0;630;678;196;182;1698
7;30;0;2;0;2;334;638;194;186;1356
7;31;0;8;0;0;352;656;206;160;1382
8;1;0;12;0;0;372;540;336;156;1416
8;2;0;0;2;0;480;688;284;194;1648
8;3;0;12;0;0;396;732;340;182;1662
8;4;0;0;0;0;460;762;226;224;1672
8;5;0;0;0;0;506;534;192;160;1392
8;6;0;4;0;0;374;670;204;196;1448
8;7;0;4;0;0;428;586;200;118;1336
8;8;0;10;0;0;464;778;278;152;1682
8;9;0;4;2;0;544;678;286;154;1668
8;10;0;4;0;0;492;678;286;178;1638
8;11;0;8;8;0;558;770;240;200;1784
8;12;0;14;0;0;522;668;172;192;1568
8;13;2;10;0;0;330;622;128;222;1314
8;14;0;6;0;0;392;600;196;124;1318
8;15;0;8;0;0;440;598;268;142;1456
8;16;0;6;4;0;500;732;368;188;1798
8;17;0;8;0;0;442;624;276;186;1536
8;18;0;8;0;0;438;814;234;196;1690
8;19;0;2;0;0;438;632;186;180;1438
8;20;0;2;0;0;276;482;192;148;1100
8;21;0;0;0;0;462;650;224;118;1454
8;22;0;6;0;0;426;612;302;150;1496
8;23;0;10;0;0;448;608;284;146;1496
8;24;0;2;0;0;458;614;276;170;1520
8;25;0;2;0;0;492;774;192;210;1670
8;26;0;2;0;0;494;730;164;210;1600
8;27;0;6;0;0;394;632;212;212;1456
8;28;0;2;0;0;466;650;184;164;1466
8;29;0;0;0;0;466;714;278;188;1646
8;30;0;12;0;0;428;704;324;198;1666
8;31;0;4;0;0;458;698;302;216;1678
9;1;0;6;0;0;498;740;254;206;1704
9;2;0;2;0;0;528;666;164;202;1562
9;3;0;8;2;0;312;624;174;214;1334
9;4;0;2;0;0;442;564;188;122;1318
9;5;0;4;0;0;428;676;306;168;1582
9;6;0;4;0;0;520;740;276;204;1744
9;7;0;6;4;0;358;520;170;162;1220
9;8;0;4;0;0;400;586;130;132;1252
9;9;0;14;0;0;522;592;112;182;1422
9;10;0;18;2;0;410;638;180;198;1446
9;11;0;2;0;0;516;702;246;142;1608
9;12;0;0;0;0;518;676;288;182;1664
9;13;2;2;0;0;520;724;344;162;1754
9;14;0;10;0;0;424;710;308;196;1648
9;15;0;2;0;0;496;756;244;178;1676
9;16;0;10;0;0;416;622;198;168;1414
9;17;0;2;0;0;344;602;198;160;1306
9;18;0;4;0;0;398;636;252;156;1446
9;19;0;2;0;0;416;664;340;186;1608
9;20;0;6;0;0;444;658;342;164;1614
9;21;0;4;0;0;468;674;320;170;1636
9;22;0;0;0;0;434;680;204;228;1546
9;23;0;14;0;0;418;600;156;176;1364
9;24;0;4;0;0;356;566;174;220;1320
9;25;0;6;0;0;420;630;244;134;1434
9;26;0;4;0;0;390;624;316;180;1514
9;27;0;4;0;0;400;662;346;212;1624
9;28;0;16;0;0;368;636;354;206;1580
9;29;0;6;0;0;546;672;238;254;1716
9;30;0;2;0;0;538;604;180;166;1490
10;1;0;6;0;0;412;590;186;242;1436
10;2;0;0;0;0;362;608;208;132;1310
10;3;0;8;0;0;450;694;344;152;1648
10;4;0;16;0;0;484;600;334;190;1624
10;5;0;6;0;2;422;674;266;154;1524
10;6;0;6;0;0;490;696;248;186;1626
10;7;0;2;0;0;590;532;182;142;1448
10;8;0;6;0;0;368;516;178;184;1252
10;9;0;10;2;0;482;612;220;116;1442
10;10;0;4;0;0;542;730;292;204;1772
10;11;0;8;2;0;550;686;286;224;1756
10;12;0;12;2;0;328;510;134;230;1216
10;13;0;8;0;0;380;532;140;188;1248
10;14;2;12;0;0;428;616;160;214;1432
10;15;0;6;2;0;260;534;182;180;1164
10;16;0;4;0;0;408;694;238;156;1500
10;17;0;6;0;0;474;642;366;140;1628
10;18;0;12;0;0;438;604;354;176;1584
10;19;0;6;2;0;572;614;268;156;1618
10;20;0;6;0;0;1066;820;258;220;2370
10;21;0;8;0;0;572;620;168;200;1568
10;22;0;0;0;0;340;636;208;176;1360
10;23;0;8;0;0;386;632;230;148;1404
10;24;0;14;0;0;508;646;364;194;1726
10;25;0;0;0;0;538;670;340;196;1744
10;26;0;10;0;2;408;662;322;164;1568
10;27;0;0;0;0;480;716;252;232;1680
10;28;0;20;0;0;556;608;224;208;1616
10;29;0;0;0;0;398;606;242;198;1444
10;30;0;8;0;0;404;566;238;134;1350
10;31;0;0;0;0;476;606;410;164;1656
11;1;0;18;0;0;502;666;336;206;1728
11;2;0;8;0;0;380;480;240;186;1294
11;3;2;10;0;0;434;566;202;230;1444
11;4;0;4;0;0;430;594;146;184;1358
11;5;0;8;0;0;234;548;228;182;1200
11;6;0;4;2;0;482;664;250;152;1554
11;7;2;12;0;0;474;660;344;158;1650
11;8;0;8;0;0;470;628;322;206;1634
11;9;0;6;4;0;474;664;328;206;1682
11;10;0;8;0;0;500;698;224;204;1634
11;11;0;4;0;0;484;622;174;206;1490
11;12;0;8;2;0;402;536;216;178;1342
11;13;0;12;0;0;466;540;202;126;1346
11;14;0;4;2;0;540;596;280;248;1670
11;15;0;6;0;0;432;492;206;232;1368
11;16;0;10;0;0;372;608;236;216;1442
11;17;0;4;0;2;476;644;268;198;1592
11;18;0;8;0;0;444;488;170;228;1338
11;19;0;8;0;0;306;398;172;178;1062
11;20;0;4;0;0;240;474;154;168;1040
11;21;0;8;2;0;440;606;316;170;1542
11;22;0;2;0;0;470;642;316;216;1646
11;23;0;0;0;0;520;606;326;190;1642
